date,age,gender,dominant_race,dominant_emotion,region.x,region.y,region.w,region.h,race.asian,race.indian,race.black,race.white,race.middle eastern,race.latino hispanic,emotion.angry,emotion.disgust,emotion.fear,emotion.happy,emotion.sad,emotion.surprise,emotion.neutral
2003May.png,31,Woman,middle eastern,happy,366,182,179,179,1.7228601691556178,6.32686317883291,1.3066965781684612,31.609330369154257,33.19028713587369,25.843966107841265,0.010218141197299517,1.8525012647088073e-08,0.0002771757305436246,69.56647997302056,0.009691009044927397,0.00015231027422158854,30.413176964142686
2003Feb.png,37,Woman,white,happy,353,139,208,208,4.744936282487874e-07,6.242718714359229e-07,4.1248198289762545e-09,99.9711513502092,0.019962800168543317,0.008885683730415775,0.16723063643507524,0.02325696564336158,6.634516223130676,92.54617779896525,0.41060540586943556,0.06500876432180235,0.15319682926945932
2003Dec.png,33,Man,white,sad,392,135,212,212,16.596367955207825,4.182588681578636,0.9297548793256283,43.940469622612,18.755561113357544,15.5952587723732,2.9331954196095467,1.1861629733989076e-08,23.557579517364502,1.1625737883150578,62.53224015235901,0.0001469495600758819,9.814263135194778
2003Aug.png,32,Woman,white,neutral,447,174,185,185,0.011830520816147327,0.05069095641374588,0.00240029112319462,90.16475677490234,3.504727780818939,6.265592575073242,0.6931428331881762,4.357710636782031e-06,20.675693452358246,0.03341418341733515,5.8372654020786285,1.3348334468901157,71.42564654350281
2003Sep.png,29,Woman,white,sad,304,183,200,200,0.8724202401936054,1.2070623226463795,0.36466396413743496,60.066479444503784,13.195453584194183,24.293923377990723,1.0404157141098807,0.0036102281561397036,44.03626585222875,0.7253505256235913,51.03323167760561,0.14485319542754863,3.016277954952595
2001Nov.png,32,Woman,white,neutral,354,203,206,206,0.9573029924811717,1.537192052584413,0.3087613217166854,58.067515973300694,17.416508043796302,21.712721688313586,0.06747290428566362,6.531887087521968e-08,0.41430036212804094,0.0022175455754487,1.5455783334719142,0.012698426901082808,97.95773017154515
2001Dec.png,32,Woman,white,happy,312,274,327,327,3.376515582203865,2.952602133154869,1.0468208231031895,53.508371114730835,13.222472369670868,25.89322030544281,18.62211674451828,0.4245098680257797,1.9846541807055473,34.557729959487915,1.8862832337617874,9.608353674411774,32.9163521528244
2001Aug.png,34,Man,asian,neutral,8,370,60,60,40.590440666105785,2.656255634501912,1.639171042392912,39.61224196030152,7.619769580350493,7.882126890547687,0.012167097156634554,1.2921216319128348e-07,1.3499473221600056,29.450806975364685,0.6929801777005196,2.7335233986377716,65.76057076454163
2001Oct.png,33,Woman,white,happy,484,286,75,75,14.932461082935333,9.084635972976685,3.3930279314517975,31.414777040481567,20.000436902046204,21.174658834934235,0.5313885863870382,8.197363854378636e-05,0.042665348155424,97.15951681137085,0.018880415882449597,0.31939498148858547,1.9280705600976944
2001Jul.png,36,Woman,asian,fear,325,158,189,189,68.47070455551147,0.6553770508617163,0.035312125692144036,24.964748322963715,2.4485038593411446,3.4253526479005814,0.0007442392416123766,3.2558641893665197e-08,65.6414806842804,0.0010832480256794952,5.865591391921043,2.0688301560767286e-05,28.491082787513733
2001Feb.png,32,Woman,white,happy,189,262,397,397,1.1315424926578999,3.655952215194702,0.7245211396366358,59.22797918319702,20.088258385658264,15.1717409491539,0.00013371482851938255,2.8457645652366184e-12,6.257880142931807e-08,99.08521169931959,0.027218241469904272,0.022749650716760796,0.8646932014640094
2001Sep.png,32,Woman,white,neutral,347,222,181,181,0.24387907759124502,0.11565356506204993,0.009885526967862365,87.17535657735804,3.042013565719936,9.413215334011038,0.009531044634059072,8.115204508385432e-06,0.006721293175360188,26.684486865997314,14.228720963001251,0.05617347778752446,59.0143620967865
2001Jun.png,35,Woman,white,happy,297,233,214,214,5.004068389777445,10.513692975860415,2.72338443835881,32.7530940027889,28.789396809899618,20.21636338331481,0.3910230938345194,3.4866335596461795e-06,0.0008214804438466672,96.6695785522461,0.08725429652258754,0.0031273288186639547,2.8481900691986084
2001Mar.png,32,Woman,white,neutral,295,182,371,371,6.365689225740212e-10,5.44761230483054e-11,3.4151229173979333e-13,99.99992847442627,1.1080096129489903e-05,5.689298063771275e-05,3.098715841770172,2.5633895006649254e-05,0.12216351460665464,0.1972366590052843,2.3108704015612602,0.02824014809448272,94.24274563789368
2001Jan.png,29,Woman,white,neutral,396,189,234,234,0.001467693527956726,0.007797839498380199,0.00014559003602698795,95.77549695968628,2.0008068531751633,2.21427995711565,2.2829947993159294,0.00035419423056737287,17.90168732404709,0.21179306786507368,21.077103912830353,0.033628050005063415,58.49243998527527
2001May.png,32,Woman,latino hispanic,happy,440,208,209,209,9.751861542463303,26.81572437286377,15.773220360279083,4.8171475529670715,2.3660628125071526,40.47598838806152,4.284842480828388e-08,3.404763299305765e-20,9.547130032907383e-16,95.76173424720764,3.23953219805162e-07,2.5008953241645315e-08,4.238265007734299
2002Aug.png,35,Woman,white,happy,333,194,313,313,3.976510735678501e-06,2.7068873202084138e-06,7.060566441576016e-08,99.98012781024741,0.010077869101645074,0.009784970317257662,9.36500155510577e-08,2.937915656753299e-12,5.779433942844078e-08,99.90413188362908,6.94912542295959e-06,0.00013322993139023017,0.09572885453388719
2002Jan.png,33,Woman,latino hispanic,neutral,387,200,147,147,2.9666075482964516,15.657620131969452,1.32181691005826,19.15641874074936,12.690727412700653,48.20680618286133,0.014429245493374765,6.836463395387682e-07,5.492940917611122,19.46171522140503,0.01179533137474209,7.376533001661301,67.64258742332458
2002Mar.png,34,Woman,white,neutral,552,181,105,105,6.679537545415017,2.8963968021510125,0.8188027445258346,49.50859543732378,16.37675412754739,23.719915671343546,5.2183181047439575,0.8258161135017872,6.03078119456768,18.074621260166168,11.69251874089241,0.8053389377892017,57.35260844230652
2002Feb.png,44,Woman,white,happy,345,155,253,253,0.07530103903263807,0.031839284929446876,0.0034818694985006005,91.58636927604675,3.204036131501198,5.098974704742432,0.16624899581074715,0.11562237050384283,0.12144607026129961,96.69187664985657,0.131109612993896,0.04834090650547296,2.725362218916416
2002Sep.png,32,Woman,white,neutral,314,156,296,296,0.40412864262632386,0.7677850771120237,0.13314864693350476,74.23606361365698,11.465020416082169,12.993853568664406,2.3531053215265274,0.06956933648325503,12.624594569206238,12.386354058980942,3.3821452409029007,0.03464983019512147,69.14957761764526
2002Apr.png,38,Woman,white,happy,405,215,218,218,0.005245887223281898,0.03695999039337039,0.00046245258999988437,92.182058095932,5.499863997101784,2.2754088044166565,0.20724599087959475,0.004226269335934182,1.4200418171311509,98.13467253057198,0.006085537460259532,0.026210078902025754,0.2015195674237351
2002Dec.png,28,Woman,white,neutral,352,141,194,194,7.493459293073101e-05,4.732063700885192e-05,3.17727533172274e-07,99.77726340293884,0.12432090006768703,0.09828944457694888,2.893308736383915,1.0088200497193611e-06,16.850781440734863,0.06341707194224,22.56453037261963,0.042971401126123965,57.584989070892334
2002Oct.png,32,Woman,black,happy,392,140,203,203,30.141302943229675,9.18852910399437,39.47796821594238,2.003607526421547,2.0485617220401764,17.14002937078476,1.9054237354598769e-10,7.925631083353045e-22,3.946770399461706e-14,100.0,7.428821995763852e-13,7.650945306990342e-11,4.620299698387953e-07
2002Nov.png,27,Woman,white,neutral,396,231,312,312,1.0484475642442703,1.0017248801887035,0.09547561639919877,61.95931434631348,14.042723178863525,21.852315962314606,0.36139669828116894,5.851206021437183e-12,0.0005833890099893324,1.880662026110258e-06,1.3071762397885323,1.2486031653047291e-08,98.33084344863892
